batting_team,bowling_team,venue,season,target,over,runs_scored,wickets_lost,runs_needed,balls_left,crr,rrr,result
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,166,12,104,3,62,40,8.67,9.3,1
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,166,13,109,4,57,32,8.38,10.69,1
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,166,14,118,4,48,26,8.43,11.08,1
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,166,15,126,4,40,20,8.4,12.0,1
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,166,16,136,4,30,14,8.5,12.86,1
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,166,17,155,4,11,8,9.12,8.25,1
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,166,18,163,5,3,2,9.06,9.0,1
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2007,111,1,16,1,95,108,16.0,5.28,1
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2007,111,2,18,2,93,102,9.0,5.47,1
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2007,111,3,21,2,90,96,7.0,5.62,1
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2007,111,4,23,3,88,90,5.75,5.87,1
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2007,111,5,26,3,85,84,5.2,6.07,1
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2007,111,6,33,3,78,77,5.5,6.08,1
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2007,111,7,34,3,77,71,4.86,6.51,1
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2007,111,8,35,3,76,64,4.38,7.12,1
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2007,111,9,38,3,73,57,4.22,7.68,1
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2007,111,10,49,3,62,51,4.9,7.29,1
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2007,111,11,64,3,47,42,5.82,6.71,1
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2007,111,12,68,4,43,34,5.67,7.59,1
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2007,111,13,77,4,34,28,5.92,7.29,1
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2007,111,14,81,4,30,22,5.79,8.18,1
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2007,111,15,87,4,24,16,5.8,9.0,1
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2007,111,16,90,5,21,10,5.62,12.6,1
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2007,111,17,103,5,8,4,6.06,12.0,1
Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,2007,167,1,13,1,154,105,13.0,8.8,1
Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,2007,167,2,28,2,139,98,14.0,8.51,1
Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,2007,167,3,42,2,125,90,14.0,8.33,1
Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,2007,167,4,48,3,119,84,12.0,8.5,1
Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,2007,167,5,53,3,114,78,10.6,8.77,1
Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,2007,167,6,60,3,107,72,10.0,8.92,1
Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,2007,167,7,65,3,102,65,9.29,9.42,1
Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,2007,167,8,76,3,91,59,9.5,9.25,1
Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,2007,167,9,87,3,80,53,9.67,9.06,1
Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,2007,167,10,99,3,68,47,9.9,8.68,1
Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,2007,167,11,102,4,65,40,9.27,9.75,1
